ID1	ID2	Date	Time
Inbred_line	CA2100L41	20180223	124955
Inbred_line	CA3100L59	20180223	131248
Inbred_line	CA3100L7	20180223	133353
Inbred_line	CA3100L52	20180223	135426
Inbred_line	CA1100L52	20180223	141958
Inbred_line	CA1100L30	20180223	144125
Inbred_line	CA3100L2	20180223	150206
Inbred_line	CA2100L96	20180223	152246
Inbred_line	CA2100L88	20180223	154322
Inbred_line	CA1100L38	20180226	91208
Inbred_line	CA1100L53	20180226	93556
Inbred_line	CA1100L80	20180226	95709
Inbred_line	CA2100L46	20180226	101837
Inbred_line	CA3100L48	20180226	104002
Inbred_line	CA3100L17	20180226	110250
Inbred_line	CA1100L18	20180226	112541
Inbred_line	CA1100L11	20180226	120650
Inbred_line	CA3100L26	20180226	122830
Inbred_line	CA2100L49	20180226	124920
Inbred_line	CA1100L25	20180226	130956
Inbred_line	CA1100L50	20180226	133200
Inbred_line	CA1100L17	20180305	95457
Inbred_line	CA2100L15	20180305	101543
Inbred_line	CA3100L14	20180305	103631
Inbred_line	CA3100L119	20180305	105729
Inbred_line	CA1100L40	20180305	112230
Inbred_line	CA1100L15	20180305	114502
Inbred_line	CA2100L35	20180305	120605
Inbred_line	CA3100L44	20180305	123829
Inbred_line	CA2100L10	20180305	130009
Inbred_line	CA1100L31	20180305	132013
Inbred_line	CA1100L45	20180305	134102
Inbred_line	CA2100L33	20180305	140712
Inbred_line	CA3100L96	20180309	95838
Inbred_line	CA1100L3	20180309	102223
Inbred_line	CA3100L11	20180309	104330
Inbred_line	CA2100L43	20180309	110444
Inbred_line	CA2100L36	20180309	113144
Inbred_line	CA2100L48	20180309	121338
Inbred_line	CA1100L8	20180309	123738
Inbred_line	CA1100L6	20180309	133936
Inbred_line	CA1100L39	20180309	140018
Inbred_line	CA1100L35	20180309	142052
Inbred_line	CA3100L45	20180309	144230
Inbred_line	CA2100L44	20180309	154321
Inbred_line	CA2100L106	20180316	94703
Inbred_line	CA3100L56	20180316	100756
Inbred_line	CA1100L29	20180316	103523
Inbred_line	CA2100L17	20180316	105740
Inbred_line	CA3100L3	20180316	111819
Inbred_line	CA1100L57	20180316	114443
Inbred_line	CA3100L19	20180316	120521
Inbred_line	CA1100L62	20180316	123541
Inbred_line	CA2100L47	20180316	125620
Inbred_line	CA2100L119	20180316	132723
Inbred_line	CA1100L95	20180316	134948
Inbred_line	CA2100L31	20180316	143305
Inbred_line	CA1100L84	20180316	145430
Inbred_line	CA2100L7	20180316	151519
Inbred_line	CA2100L42	20180316	153749
Inbred_line	CA2100L32	20180316	155853
Inbred_line	CA3100L67	20180316	162018
Inbred_line	CA3100L24	20180316	164937
Inbred_line	CA2100L110	20180319	100511
Inbred_line	CA3100L5	20180319	102902
Inbred_line	CA1100L65	20180319	105511
Inbred_line	CA1100L114	20180319	112241
Inbred_line	CA3100L12	20180319	114337
Inbred_line	CA2100L114	20180319	123712
Inbred_line	CA3100L8	20180319	125850
Inbred_line	CA3100L16	20180319	131926
Inbred_line	CA1100L97	20180406	94959
Inbred_line	CA2100L23	20180406	101033
Inbred_line	CA2100L30	20180406	103256
Inbred_line	CA2100L21	20180406	110734
Inbred_line	CA1100L118	20180406	112843
Inbred_line	CA1100L101	20180406	114934
Inbred_line	CA1100L60	20180406	121013
Inbred_line	CA1100L5	20180406	123049
Inbred_line	CA2100L69	20180406	125116
Inbred_line	CA2100L120	20180406	131408
Inbred_line	CA2100L11	20180406	133645
Inbred_line	CA2100L50	20180406	140658
Inbred_line	CA2100L94	20180406	150905
Inbred_line	CA1100L55	20180406	152953
Inbred_line	CA2100L109	20180406	155041
Inbred_line	CA2100L20	20180406	161338
Inbred_line	CA1100L71	20180413	95602
Inbred_line	CA3100L116	20180413	101729
Inbred_line	CA2100L52	20180413	103830
Inbred_line	CA2100L19	20180413	110041
Inbred_line	CA1100L76	20180413	112113
Inbred_line	CA2100L81	20180413	114844
Inbred_line	CA2100L16	20180413	120928
Inbred_line	CA3100L56	20180413	123022
Inbred_line	CA3100L92	20180413	125736
Inbred_line	CA3100L109	20180413	131809
Inbred_line	CA1100L61	20180413	133838
Inbred_line	CA2100L99	20180413	135934
Inbred_line	CA2100L103	20180413	142110
Inbred_line	CA1100L113	20180413	145102
Inbred_line	CA3100L112	20180413	151231
Inbred_line	CA1100L67	20180413	153307
