data_id	pop_label	population	data_group_name	date_str	time_str	exper_duration_s	logD	temperature	rel_humidity	env_label	T12	T13	T21	T23	T31	T32	T12_pred_01	T13_pred_01	T21_pred_01	T23_pred_01	T31_pred_01	T32_pred_01	T12_pred_02	T13_pred_02	T21_pred_02	T23_pred_02	T31_pred_02	T32_pred_02	population2
A6140L264_NGM_B102	A6140L264	A6140	B102	20180126	94104	1208.418	2.87549111050392	24	36	NGM	-1.83332816449864	-2.46517653180937	-0.746507011299745	-3.80553610746157	-0.269984587818985	-2.68862785179828	-2.56779211051635	-2.91757143898986	-0.0354094950414174	-3.53814339929323	0.233052492566776	-3.23953999626571	-2.09170839295767	-2.41511340664166	-0.388777549712581	-3.61112377910589	-0.0189344147143685	-3.02882555620109	A6140
A6140L244_NGM_B102	A6140L244	A6140	B102	20180126	100207	1216.953	2.93777456691374	23.8	36	NGM	-1.61846180153296	-2.40343872862106	-0.794225608956768	-4.48292377264076	-0.277136145654682	-2.38258541097944	-2.35292574755067	-2.85583363580155	-0.0831280926984405	-4.21553106447242	0.225900934731079	-2.93349755544688	-1.87684202999199	-2.35337560345335	-0.436496147369604	-4.28851144428508	-0.0260859725500655	-2.72278311538225	A6140
CA3100L32_NGM_B102	CA3100L32	CA3100	B102	20180126	102416	1226.857	3.03812315439601	23.7	35	NGM	-1.18868723883352	-2.45857952948809	-1.19958034253728	-4.71714360240488	-0.579858848575571	-1.91327362884797	-1.92315118485123	-2.91097443666858	-0.488482826278952	-4.44975089423654	-0.0768217681898101	-2.46418577331541	-1.44706746729255	-2.40851640432038	-0.841850880950116	-4.5227312740492	-0.328808675470955	-2.25347133325078	CA100
CA3100L35_NGM_B102	CA3100L35	CA3100	B102	20180126	104537	1198.094	2.98489338282616	23.6	34	NGM	-1.87688685961067	-2.76383729449715	-0.865512541523799	-4.34136304763767	-0.282509587807169	-2.46787265466268	-2.61135080562838	-3.21623220167764	-0.154415025265471	-4.07397033946933	0.220527492578592	-3.01878479913012	-2.1352670880697	-2.71377416932944	-0.507783079936635	-4.14695071928199	-0.0314594147025525	-2.80807035906549	CA100
A6140L218_NGM_B102	A6140L218	A6140	B102	20180126	110639	1197.445	2.88810978825016	23.5	35	NGM	-1.57494997750292	-2.63293458135927	-0.851908907528376	-4.52748778501907	-0.358390231164534	-2.66466101895957	-2.30941392352063	-3.08532948853976	-0.140811391270048	-4.26009507685073	0.144646849221227	-3.21557316342701	-1.83333020596195	-2.58287145619156	-0.494179445941212	-4.33307545666339	-0.107340058059918	-3.00485872336238	A6140
CA3100L36_NGM_B102	CA3100L36	CA3100	B102	20180126	112743	1209.233	3.03784386541627	23.6	35	NGM	-1.8749430866751	-2.71980488482925	-0.920893077374572	-4.82646944375236	-0.372932761982078	-2.85434018911168	-2.60940703269281	-3.17219979200974	-0.209795561116245	-4.55907673558402	0.130104318403683	-3.40525233357912	-2.13332331513413	-2.66974175966154	-0.563163615787408	-4.63205711539668	-0.121882588877462	-3.19453789351449	CA100
CA3100L39_NGM_B102	CA3100L39	CA3100	B102	20180126	114844	1295.934	3.0243911141525	23.8	36	NGM	-1.51426644878819	-2.49144421151464	-1.37031031672344	-3.63683565976419	-0.650133945446018	-1.47276602593481	-2.2487303948059	-2.94383911869513	-0.659212800465113	-3.36944295159585	-0.147096865060257	-2.02367817040225	-1.77264667724722	-2.44138108634693	-1.01258085513628	-3.44242333140851	-0.399083772341402	-1.81296373033762	CA100
A6140L236_NGM_B102	A6140L236	A6140	B102	20180126	121506	1198.405	2.85800332615278	24	36	NGM	-0.639171811603482	-1.81798654533858	-1.57901213607727	-2.88300843759381	-0.39947773490424	-0.743108557861271	-1.37363575762119	-2.27038145251907	-0.867914619818942	-2.61561572942547	0.103559345481521	-1.29402070232871	-0.897552040062515	-1.76792342017087	-1.22128267449011	-2.68859610923813	-0.148427561799624	-1.08330626226409	A6140
CA3100L29_NGM_B102	CA3100L29	CA3100	B102	20180126	123548	1198.434	3.02851033873136	24.2	37	NGM	-1.63383152024193	-2.22228190360346	-1.39890808074183	-3.88845663484435	-0.737141894562215	-1.82691265225274	-2.36829546625964	-2.67467681078395	-0.687810564483502	-3.62106392667601	-0.234104814176454	-2.37782479672018	-1.89221174870096	-2.17221877843575	-1.04117861915467	-3.69404430648867	-0.486091721457599	-2.16711035665555	CA100
CA3100L40_NGM_B102	CA3100L40	CA3100	B102	20180126	125620	1198.474	2.86413730078303	24.3	36	NGM	-1.94472896567695	-2.62004398352851	-0.801531171037896	-4.20888593338095	-0.213951947806818	-2.20337745174875	-2.67919291169466	-3.072438890709	-0.0904336547795684	-3.94149322521261	0.289085132578943	-2.75428959621619	-2.20310919413598	-2.5699808583608	-0.443801709450732	-4.01447360502527	0.0370982252977984	-2.54357515615156	CA100
