exper_data_id	pop_label	data_group_name	mean_still	mean_forward	mean_backward	date_str	time_str
B302-20181116_173211_proc_male	A460L0_male	B302	-1.95375226265244	1.35278481303385	-2.42520631455857	20181116	173211
B302-20181116_175339_proc_herm	A560noML0_herm	B302	-0.442074338312058	0.286153396689784	-3.23969284472254	20181116	175339
B302-20181116_175339_proc_male	A560noML0_male	B302	-1.5787284904695	0.990533624719449	-2.199103149554	20181116	175339
B303-20181119_102914_proc_herm	A460L0_herm	B303	-0.194538948545119	-0.0201311489962611	-2.87280203311347	20181119	102914
B303-20181119_102914_proc_male	A460L0_male	B303	-1.93357471336009	1.32418507519405	-2.39222625289439	20181119	102914
B303-20181119_111011_proc_herm	CA350L0_herm	B303	-0.0608251932424131	-0.122794146743246	-3.03517981843072	20181119	111011
B303-20181119_111011_proc_male	CA350L0_male	B303	-1.78334179165572	1.10575570877288	-2.14529164696821	20181119	111011
B303-20181119_113048_proc_herm	A0L0_herm	B303	-0.591656673684947	0.468705811860203	-3.52289472548448	20181119	113048
B303-20181119_113048_proc_male	A0L0_male	B303	-1.89280060193662	1.42544059695836	-2.70150496310862	20181119	113048
B303-20181119_115336_proc_herm	A560noML0_herm	B303	-0.260933530958666	0.0664589588277726	-2.98175123991657	20181119	115336
B303-20181119_115336_proc_male	A560noML0_male	B303	-1.53273639862779	0.771019760960328	-1.82642354643613	20181119	115336
B303-20181119_121453_proc_herm	CA150noML0_herm	B303	-0.461382061238507	0.292546372047887	-3.15939768976315	20181119	121453
B303-20181119_121453_proc_male	CA150noML0_male	B303	-2.07133719288852	1.29825038940653	-2.16925523432024	20181119	121453
B303-20181119_123638_proc_herm	CA150L0_herm	B303	-0.378807544065191	0.180601589602496	-2.97523295436038	20181119	123638
B303-20181119_123638_proc_male	CA150L0_male	B303	-1.86876342786521	1.17062050186535	-2.16369953521948	20181119	123638
B303-20181119_125857_proc_herm	A560L0_herm	B303	-0.499292508596132	0.339476103217079	-3.22516030573079	20181119	125857
B303-20181119_125857_proc_male	A560L0_male	B303	-1.90665207854179	1.20753234601997	-2.18858201565436	20181119	125857
B303-20181119_134103_proc_herm	A5140L0_herm	B303	-0.617788473740616	0.466130289714136	-3.30946332335075	20181119	134103
B303-20181119_134103_proc_male	A5140L0_male	B303	-1.82806671589706	1.36461275682172	-2.66578272341411	20181119	134103
B303-20181119_150725_proc_herm	CA350noML0_herm	B303	-0.103403661293602	-0.161994732939392	-2.6459631283511	20181119	150725
B303-20181119_150725_proc_male	CA350noML0_male	B303	-1.95128238443688	1.20521083789681	-2.13083297780764	20181119	150725
B303-20181119_153727_proc_herm	A0noML0_herm	B303	-1.00741229477038	0.830037947137758	-3.28324517422521	20181119	153727
B303-20181119_153727_proc_male	A0noML0_male	B303	-1.74435320632695	1.1681968901139	-2.33307844793136	20181119	153727
B303-20181119_161058_proc_herm	A460noML0_herm	B303	-0.978860158123587	0.835955923379373	-3.50151396590499	20181119	161058
B303-20181119_161058_proc_male	A460noML0_male	B303	-1.89491084900279	1.38337368510937	-2.59004030097337	20181119	161058
B303-20181119_170259_proc_herm	A5140noML0_herm	B303	-1.00270522401249	0.866267435377884	-3.56114362008051	20181119	170259
B303-20181119_170259_proc_male	A5140noML0_male	B303	-1.91607903554374	1.42578141230177	-2.65865771054671	20181119	170259
B304-20181123_090657_proc_herm	A5140noML0_herm	B304	0.138344767991253	-0.436099243937996	-2.54448248258395	20181123	090657
B304-20181123_090657_proc_male	A5140noML0_male	B304	-1.97998979033429	1.00701950306146	-1.76437204248084	20181123	090657
B304-20181123_094846_proc_herm	CA2100noML0_herm	B304	0.100254765299986	-0.317635451411634	-2.86904498114342	20181123	094846
B304-20181123_094846_proc_male	CA2100noML0_male	B304	-1.83601286412874	1.08129760200537	-2.03343406393275	20181123	094846
B304-20181123_100918_proc_herm	CA150L0_herm	B304	0.234400849837204	-0.462929796568009	-2.83664821131726	20181123	100918
B304-20181123_100918_proc_male	CA150L0_male	B304	-1.7842280129339	1.12603148354488	-2.18492550411695	20181123	100918
B304-20181123_102949_proc_herm	CA2100L0_herm	B304	-0.11611664137363	-0.0729153693949628	-3.00462522800368	20181123	102949
B304-20181123_102949_proc_male	CA2100L0_male	B304	-1.92554998537253	1.21856215782697	-2.18676140081991	20181123	102949
B304-20181123_111409_proc_herm	A5140L0_herm	B304	-0.162351306047202	-0.0297752999001689	-2.98862995811633	20181123	111409
B304-20181123_111409_proc_male	A5140L0_male	B304	-1.6538078889518	0.962021373740097	-2.03205033211611	20181123	111409
B304-20181123_122939_proc_herm	CA250L0_herm	B304	-0.147743613484452	-0.0990882501219159	-2.72315679164764	20181123	122939
B304-20181123_122939_proc_male	CA250L0_male	B304	-1.83163524282065	1.06540707609308	-2.00926169682311	20181123	122939
B304-20181123_131523_proc_herm	CA3100L0_herm	B304	-0.445779401808381	0.244758564409692	-2.97108693033969	20181123	131523
B304-20181123_131523_proc_male	CA3100L0_male	B304	-1.76195288580996	1.18862206727084	-2.35133717656881	20181123	131523
B304-20181123_134057_proc_herm	CA3100noML0_herm	B304	-0.2796920739593	0.0814626932557454	-2.96320055320359	20181123	134057
B304-20181123_134057_proc_male	CA3100noML0_male	B304	-1.75492514106241	1.07299338605968	-2.1175035607294	20181123	134057
B304-20181123_140203_proc_herm	A4140noML0_herm	B304	-0.425434621403529	0.259960663323712	-3.1739897977125	20181123	140203
B304-20181123_140203_proc_male	A4140noML0_male	B304	-1.8435601493336	1.1603784267032	-2.17554943707964	20181123	140203
B304-20181123_142555_proc_herm	A4140L0_herm	B304	0.136005377849868	-0.414541859543078	-2.61424254616067	20181123	142555
B304-20181123_142555_proc_male	A4140L0_male	B304	-1.99260290585451	1.2583694641629	-2.18316004987411	20181123	142555
B304-20181123_145542_proc_herm	CA150noML0_herm	B304	-0.391453553575191	0.173307058882709	-2.87479055068996	20181123	145542
B304-20181123_145542_proc_male	CA150noML0_male	B304	-1.62623070494018	0.897520366898132	-1.94396452626619	20181123	145542
B304-20181123_170615_proc_herm	CA250noML0_herm	B304	-0.13972762183482	-0.0606141868236733	-2.94393190863029	20181123	170615
B304-20181123_170615_proc_male	CA250noML0_male	B304	-1.65925941301555	1.03137126856454	-2.16479340665706	20181123	170615
B305-20181126_092527_proc_herm	A660L0_herm	B305	-0.762748944374131	0.539544696581497	-2.93931888891387	20181126	092527
B305-20181126_092527_proc_male	A660L0_male	B305	-2.24560200498071	1.42201058180045	-2.21268570516229	20181126	092527
B305-20181126_120507_proc_herm	A660noML0_herm	B305	-0.982118851015796	0.731569476753158	-2.89545187935203	20181126	120507
B305-20181126_120507_proc_male	A660noML0_male	B305	-2.11726086331282	1.2353176241438	-2.01322239016646	20181126	120507
B305-20181126_122940_proc_herm	A6140L0_herm	B305	-0.626414945943895	0.408584597556104	-2.92507852029559	20181126	122940
B305-20181126_122940_proc_male	A6140L0_male	B305	-1.9252377870468	1.16117002115571	-2.07878340823035	20181126	122940
B305-20181126_125021_proc_herm	A6140noML0_herm	B305	-1.11905218925719	0.895574358345697	-3.08396186352432	20181126	125021
B305-20181126_125021_proc_male	A6140noML0_male	B305	-1.92540927390367	1.18054574640593	-2.11450995960915	20181126	125021
B306-20190304_084938_proc_herm	A6140L0_herm	B306	0.03452033317515	-0.190832797010398	-3.20615606916866	20190304	084938
